   6.0        0.801177
  12.0        1.061070
  18.0        0.477785
  24.0        0.054006
  30.0        0.532765
  36.0        0.604641
  42.0       -0.122138
  48.0       -1.216286
  54.0       -1.212352
  60.0       -0.335088
  66.0        0.234342
  72.0        0.265168
  78.0       -0.009312
  84.0        0.499965
  90.0        1.054561
  96.0        0.887558
 102.0        0.096730
 108.0       -0.444930
 114.0       -0.756573
 120.0       -0.607455
 126.0       -0.259258
 132.0       -0.414440
 138.0       -0.498485
 144.0        0.028115
 150.0        0.847042
 156.0        1.084008
 162.0        0.593347
 168.0        0.243253
 174.0        0.043491
 180.0        0.011860
 186.0       -0.446254
 192.0       -1.114592
 198.0       -0.927707
 204.0       -0.161680
 210.0        0.313175
 216.0        0.344083
 222.0        0.578881
 228.0        0.469597
 234.0        0.590148
 240.0        0.346878
